                             mean          std        2.5q         25q         50q          75q      97.5q       mc err
a_subj(LL.PD-Off).3      0.961978    0.0536091    0.862793    0.924971    0.959941     0.996956    1.07279  0.000330559
a_subj(LL.PD-Off).4       1.15546    0.0680522     1.02605     1.10873     1.15382      1.20016    1.29381  0.000393883
a_subj(LL.PD-Off).5       1.07649    0.0676668    0.949075     1.02981     1.07492       1.1214    1.21444  0.000449674
a_subj(LL.PD-Off).6      0.942017    0.0614615    0.825996    0.899533    0.940217     0.982311    1.06794  0.000490189
a_subj(LL.PD-Off).7       1.12078    0.0775202    0.976608     1.06675     1.11787      1.17193    1.27855  0.000404326
a_subj(LL.PD-Off).8       1.10111    0.0652808    0.978934     1.05613     1.09962      1.14432    1.23336  0.000391694
a_subj(LL.PD-Off).9      0.745758    0.0441105     0.66403    0.715186     0.74408      0.77493    0.83572  0.000282127
a_subj(LL.PD-Off).10      1.13728    0.0573064     1.02978     1.09751     1.13552      1.17535    1.25313  0.000327043
a_subj(LL.PD-Off).11      1.14981    0.0561068      1.0437     1.11153     1.14818      1.18655    1.26413  0.000270818
a_subj(LL.PD-Off).12     0.963538    0.0505782    0.868185    0.928406    0.962412     0.996801     1.0666  0.000272436
a_subj(LL.PD-Off).13      1.06702    0.0646507    0.946249     1.02264     1.06515      1.10926    1.19812  0.000394009
a_subj(LL.PD-Off).14     0.775723    0.0485641    0.686167    0.742034    0.774109     0.807254   0.876525  0.000360707
a_subj(LL.PD-Off).15     0.841014     0.054956    0.739294    0.802489    0.838771     0.876991   0.954046  0.000386345
a_subj(LL.PD-On).0        1.13801    0.0577623     1.02811     1.09836     1.13638      1.17632    1.25559  0.000319293
a_subj(LL.PD-On).1        1.20063    0.0697685     1.06784     1.15269     1.19907      1.24669     1.3422  0.000484319
a_subj(LL.PD-On).2        1.22831    0.0602706     1.11528     1.18711     1.22673      1.26814    1.35117  0.000280061
a_subj(LL.PD-On).3        1.14546    0.0681705     1.01681     1.09875     1.14381      1.19019    1.28512   0.00041653
a_subj(LL.PD-On).4        1.19357    0.0701387     1.06131     1.14556     1.19193      1.23971    1.33568  0.000463291
a_subj(LL.PD-On).5       0.887054    0.0553874    0.784766    0.848253    0.884914     0.923683    1.00108  0.000350995
a_subj(LL.PD-On).6       0.714481    0.0499938    0.620921     0.68027    0.713134     0.746992   0.816819   0.00043496
a_subj(LL.PD-On).7        1.00068     0.060151     0.88871    0.958902    0.998968      1.04018    1.12324  0.000342913
a_subj(LL.PD-On).8        1.17413    0.0696236     1.04163     1.12637     1.17278      1.22035    1.31351  0.000458868
a_subj(LL.PD-On).9        1.04048    0.0654501    0.916295     0.99548     1.03892      1.08377    1.17322  0.000443601
a_subj(LL.PD-On).10       1.29692    0.0657057      1.1737     1.25171     1.29507      1.33991    1.43068  0.000426138
a_subj(LL.PD-On).11       1.00554    0.0610935    0.889328    0.963708     1.00408      1.04615    1.12884   0.00036866
a_subj(LL.PD-On).12       1.12302    0.0586278     1.01259     1.08282     1.12151      1.16191     1.2417  0.000300496
