                              mean          std       2.5q        25q          50q         75q       97.5q       mc err
v_subj(LH.PD-Off).12    0.00244736    0.0673412  -0.125766 -0.0424697   0.00146444       0.045    0.146394   0.00398331
v_subj(LH.PD-Off).13  -0.000214355    0.0678997  -0.129967 -0.0453833 -0.000851117   0.0424949    0.143076    0.0040227
v_subj(LH.PD-Off).14    0.00245131    0.0678998  -0.125533 -0.0431095   0.00130643   0.0447148    0.147078   0.00400379
v_subj(LH.PD-Off).15    0.00292172    0.0674925  -0.124668 -0.0423757   0.00196336   0.0451511    0.145684   0.00398374
v_subj(LH.PD-On).0       -0.136566    0.0652965   -0.27152  -0.178598    -0.134905  -0.0921062  -0.0111783   0.00380118
v_subj(LH.PD-On).1       -0.138314    0.0652639  -0.273139  -0.180146    -0.136552   -0.093576  -0.0138207   0.00378849
v_subj(LH.PD-On).2       -0.142649    0.0650582  -0.277556  -0.184849    -0.140107  -0.0977792  -0.0218325    0.0037355
v_subj(LH.PD-On).3        -0.13958    0.0651981  -0.274705  -0.181399    -0.137419  -0.0951735   -0.016029   0.00377075
v_subj(LH.PD-On).4       -0.145995    0.0658115  -0.281254  -0.189142    -0.143175   -0.101496  -0.0246175    0.0037704
v_subj(LH.PD-On).5        -0.14014    0.0652979  -0.274754  -0.182526    -0.138122  -0.0954287  -0.0169228   0.00376944
v_subj(LH.PD-On).6       -0.140528    0.0659822  -0.276915  -0.183241    -0.138587  -0.0955377  -0.0154309   0.00377986
v_subj(LH.PD-On).7       -0.143081     0.065442  -0.278325  -0.185125    -0.140633  -0.0985371  -0.0202163   0.00375754
v_subj(LH.PD-On).8       -0.138777    0.0658999  -0.274638  -0.181473    -0.136601  -0.0936797  -0.0136222   0.00377457
v_subj(LH.PD-On).9       -0.141067    0.0657128   -0.27647  -0.183912    -0.139343  -0.0963812  -0.0160048   0.00377988
v_subj(LH.PD-On).10       -0.14059    0.0646193   -0.27448  -0.182343    -0.138356  -0.0962964  -0.0176293   0.00375614
v_subj(LH.PD-On).11      -0.140007    0.0654656  -0.275614  -0.182155    -0.137688  -0.0954399   -0.016853   0.00375843
v_subj(LH.PD-On).12      -0.139977    0.0649962  -0.274154  -0.182338    -0.137738  -0.0958623  -0.0170027   0.00377044
v_subj(LH.PD-On).13      -0.142155    0.0650293  -0.277101  -0.184212    -0.139593  -0.0977607  -0.0205499   0.00375354
v_subj(LH.PD-On).14      -0.139705    0.0659773  -0.275126     -0.183    -0.137513  -0.0942827  -0.0132286   0.00379063
v_subj(LH.PD-On).15      -0.138223    0.0651306  -0.272135  -0.180311    -0.136333  -0.0937342   -0.014117   0.00379663
v_subj(LL.Control).0   -0.00494201    0.0743612  -0.145011 -0.0538137  -0.00655507   0.0444035    0.144035   0.00495737
v_subj(LL.Control).1   -0.00705334    0.0753146  -0.149878 -0.0562355  -0.00832251   0.0430616    0.143621   0.00498768
v_subj(LL.Control).2   -0.00935624    0.0752214  -0.153383 -0.0578998   -0.0103951   0.0405748    0.141436   0.00497066
v_subj(LL.Control).3   -0.00738119    0.0749713  -0.149996 -0.0562209  -0.00864084   0.0427718    0.142584   0.00497478
v_subj(LL.Control).4   -0.00869496    0.0753426  -0.152481 -0.0569996   -0.0101613    0.041516    0.141699   0.00499567
v_subj(LL.Control).5   -0.00747579    0.0752678  -0.150784 -0.0558275  -0.00896745    0.042636    0.142369   0.00498656
v_subj(LL.Control).6   -0.00753707    0.0749106   -0.14982 -0.0561045  -0.00927962   0.0418568    0.143282   0.00499023
v_subj(LL.Control).7   -0.00722655    0.0749363   -0.14931 -0.0558149  -0.00867115   0.0423721     0.14318   0.00497117
v_subj(LL.Control).8   -0.00618681    0.0746754  -0.146971 -0.0547022  -0.00784464   0.0430926    0.143168   0.00495786
v_subj(LL.Control).10  -0.00695318    0.0745776   -0.14848 -0.0551635  -0.00840218   0.0428617    0.142398   0.00496304
v_subj(LL.Control).11  -0.00732428    0.0754081  -0.150758 -0.0553124   -0.0084973   0.0425133    0.142712   0.00497412
v_subj(LL.Control).12  -0.00676396    0.0745786  -0.148534 -0.0553235  -0.00804796   0.0430515    0.142034    0.0049446
v_subj(LL.Control).13  -0.00753531    0.0749789  -0.149876 -0.0561056  -0.00905893   0.0423007    0.142503   0.00497881
v_subj(LL.Control).14   -0.0067553    0.0747164  -0.147341 -0.0554806  -0.00867464   0.0432601    0.143259   0.00496517
v_subj(LL.Control).15  -0.00641003     0.075077  -0.148949 -0.0553989  -0.00812296   0.0435782    0.143348   0.00498403
v_subj(LL.PD-Off).0     -0.0073085    0.0713483  -0.150396 -0.0550006  -0.00791497   0.0453317    0.126081   0.00450057
v_subj(LL.PD-Off).1    -0.00534757    0.0714312  -0.149486 -0.0533524  -0.00605465   0.0468522    0.130169   0.00447748
v_subj(LL.PD-Off).2    -0.00315845     0.071484   -0.14545 -0.0516397  -0.00365304   0.0481389    0.133654   0.00446449
v_subj(LL.PD-Off).3    -0.00589247    0.0715781  -0.150042 -0.0539262  -0.00661018   0.0462502    0.128883   0.00448576
v_subj(LL.PD-Off).4     -0.0100073     0.071732  -0.155703 -0.0577298   -0.0111865   0.0428768    0.124476   0.00453068
v_subj(LL.PD-Off).5    -0.00643506    0.0717053  -0.150562 -0.0544934  -0.00750511   0.0458904    0.129393   0.00450134
v_subj(LL.PD-Off).6    -0.00583744    0.0718269  -0.149845 -0.0541336  -0.00639933   0.0464351    0.129365   0.00447913
v_subj(LL.PD-Off).7    2.88958e-05    0.0719031  -0.142868 -0.0488841 -0.000572468   0.0511559    0.139061   0.00446646
v_subj(LL.PD-Off).8    -0.00630661    0.0715579    -0.1498 -0.0543924  -0.00699511   0.0460825    0.128187   0.00448306
v_subj(LL.PD-Off).9    -0.00649795     0.071903  -0.150867 -0.0545499  -0.00703846    0.046074    0.128021   0.00449121
v_subj(LL.PD-Off).10   -0.00616549    0.0708979  -0.147242 -0.0536984  -0.00736585   0.0453873    0.129541   0.00446748
v_subj(LL.PD-Off).11   -0.00658842    0.0714817  -0.149488 -0.0544836  -0.00762625   0.0455593     0.12767   0.00448061
v_subj(LL.PD-Off).12      -0.00777    0.0719784  -0.153546 -0.0560304  -0.00833214   0.0450118    0.128305   0.00453268
v_subj(LL.PD-Off).13    -0.0047449    0.0713542  -0.147104 -0.0526354  -0.00566741   0.0474018    0.130902   0.00447009
v_subj(LL.PD-Off).14    -0.0062135    0.0719632  -0.151333 -0.0542783  -0.00710767   0.0463535    0.129073   0.00451016
v_subj(LL.PD-Off).15   -0.00642839    0.0718793   -0.15049 -0.0546373  -0.00709459    0.046047    0.130105   0.00451019
v_subj(LL.PD-On).0      -0.0274438     0.066535  -0.158582 -0.0709655   -0.0272272   0.0167604     0.10031   0.00412168
v_subj(LL.PD-On).1      -0.0262623    0.0664833  -0.158307 -0.0695523   -0.0262639    0.017896    0.101316   0.00411413
v_subj(LL.PD-On).2       -0.036261    0.0671519  -0.170413 -0.0801832    -0.036119  0.00830847   0.0892553    0.0042637
v_subj(LL.PD-On).3      -0.0264399    0.0665306   -0.15873 -0.0697185   -0.0264619    0.017441    0.101511   0.00412439
v_subj(LL.PD-On).4      -0.0266175    0.0665623  -0.158993 -0.0700244    -0.026442   0.0174228    0.101235   0.00410906
v_subj(LL.PD-On).5       -0.024961    0.0672108  -0.157448 -0.0684447   -0.0248286   0.0196478    0.105844   0.00413432
v_subj(LL.PD-On).6      -0.0265815     0.067188  -0.160316 -0.0698323   -0.0266205   0.0178502    0.102147     0.004156
v_subj(LL.PD-On).7      -0.0169658    0.0682706  -0.151778 -0.0613914   -0.0167677   0.0272186    0.118322   0.00414536
v_subj(LL.PD-On).8      -0.0272537    0.0669474  -0.159473 -0.0707872   -0.0271784   0.0168748    0.100777   0.00412024
v_subj(LL.PD-On).9        -0.02904    0.0669586  -0.162221 -0.0728592   -0.0288885   0.0153393    0.098782   0.00417241
v_subj(LL.PD-On).10     -0.0291007    0.0658878  -0.160164 -0.0719985   -0.0291662   0.0143407   0.0970629   0.00412375
v_subj(LL.PD-On).11     -0.0273348     0.066677  -0.158588 -0.0708656   -0.0273383    0.016866    0.100342   0.00412987
v_subj(LL.PD-On).12     -0.0276424    0.0664298  -0.158791 -0.0708044   -0.0276231   0.0163767    0.100558   0.00412433
v_subj(LL.PD-On).13     -0.0278862    0.0662424  -0.159213 -0.0710353   -0.0276476   0.0157426   0.0973394   0.00413587
v_subj(LL.PD-On).14     -0.0263144    0.0671686  -0.158625 -0.0696839   -0.0259289   0.0179681    0.102765   0.00415347
v_subj(LL.PD-On).15     -0.0281425    0.0667816  -0.160857 -0.0714869   -0.0282174   0.0158509   0.0992967   0.00414218
v_subj(SH.Control).0    -0.0234931    0.0747572  -0.175097 -0.0713763   -0.0260273   0.0244707    0.118705   0.00473704
v_subj(SH.Control).1    -0.0240516    0.0751781   -0.17591 -0.0719722    -0.026554   0.0245262    0.119322   0.00474693
v_subj(SH.Control).2    -0.0240525    0.0747329  -0.175318 -0.0716943   -0.0263658   0.0238764     0.11846   0.00472099
v_subj(SH.Control).3    -0.0240926    0.0749941  -0.176745 -0.0718009   -0.0262615    0.023612    0.118005   0.00472657
v_subj(SH.Control).4    -0.0253164    0.0751691  -0.176764 -0.0735559   -0.0276861   0.0229108     0.11793   0.00472059
v_subj(SH.Control).5    -0.0253438    0.0749755  -0.176011 -0.0734268   -0.0277821   0.0222565    0.117189   0.00471451
v_subj(SH.Control).6    -0.0239571    0.0750474  -0.176201 -0.0718359   -0.0264506   0.0235984    0.118192   0.00473888
v_subj(SH.Control).7    -0.0239844    0.0751276  -0.176799 -0.0722267   -0.0263599   0.0239437    0.120242   0.00475147
