                              mean          std        2.5q         25q          50q          75q       97.5q       mc err
a_subj(LL.PD-On).7        0.998891    0.0601526    0.886292    0.957444     0.997122      1.03855     1.12253  0.000321466
a_subj(LL.PD-On).8         1.17338    0.0694819     1.04312     1.12572      1.17182       1.2188     1.31527  0.000462764
a_subj(LL.PD-On).9          1.0414    0.0659352    0.915622    0.996293      1.04019      1.08477     1.17414  0.000460672
a_subj(LL.PD-On).10         1.2968    0.0655396     1.17357     1.25131      1.29495      1.34004     1.43206  0.000367685
a_subj(LL.PD-On).11        1.00524    0.0615591    0.888308     0.96284      1.00394      1.04628     1.12985  0.000374127
a_subj(LL.PD-On).12        1.12345    0.0587138     1.01337     1.08279      1.12166      1.16257     1.24298  0.000332688
a_subj(LL.PD-On).13        1.29251     0.072662     1.15578     1.24226      1.29068      1.34057     1.44024  0.000495953
a_subj(LL.PD-On).14        1.14238    0.0739081     1.00206     1.09152       1.1409      1.19136      1.2919  0.000549771
a_subj(LL.PD-On).15        1.15946     0.070402     1.02753     1.11109      1.15729      1.20572     1.30239  0.000466309
a_subj(SH.Control).0       1.07892    0.0632755    0.960582      1.0353      1.07686      1.12058     1.20779  0.000401472
a_subj(SH.Control).1      0.953445    0.0582276    0.844293    0.912895     0.951641     0.992321     1.07119  0.000388808
a_subj(SH.Control).2       1.01631    0.0511554    0.920218    0.981197      1.01459      1.04987      1.1204  0.000293475
a_subj(SH.Control).3       1.11248    0.0644831     0.99064     1.06811      1.11098      1.15481      1.2433  0.000399266
a_subj(SH.Control).4      0.881871    0.0510494     0.78564    0.846684     0.880541     0.915347    0.985126   0.00031042
a_subj(SH.Control).5      0.988146    0.0587116    0.877675    0.948003     0.986399      1.02701     1.10754  0.000306869
a_subj(SH.Control).6       1.17569    0.0719434     1.03974     1.12594      1.17356      1.22396     1.32056  0.000570729
a_subj(SH.Control).7      0.855754    0.0439101    0.773349    0.825149     0.854307     0.884688     0.94508  0.000257313
a_subj(SH.Control).8      0.840917    0.0508876    0.746288    0.805555     0.839551     0.874253    0.945634  0.000354243
a_subj(SH.Control).10     0.879742    0.0513009    0.784911    0.844159      0.87777     0.913571    0.984719  0.000345612
a_subj(SH.Control).11      0.73868     0.039066    0.665026     0.71174     0.737519     0.764368    0.818054  0.000203927
a_subj(SH.Control).12      1.09018    0.0661678    0.965285     1.04444      1.08853      1.13398     1.22382  0.000362254
a_subj(SH.Control).13     0.882225    0.0534332    0.782016    0.845541     0.880794     0.917552    0.991297   0.00029015
a_subj(SH.Control).14      1.04546    0.0685691    0.916244    0.998603      1.04338      1.08996     1.18496   0.00049535
a_subj(SH.Control).15      1.06393    0.0644044    0.944018     1.01936      1.06202      1.10648     1.19536  0.000419767
a_subj(SH.PD-Off).0        1.05182    0.0593294    0.940887     1.01113      1.05012       1.0907     1.17311  0.000350229
a_subj(SH.PD-Off).1        1.31223    0.0814552     1.15576      1.2571      1.31108      1.36548     1.47695  0.000544624
a_subj(SH.PD-Off).2       0.971599    0.0480919    0.881478    0.938337     0.970132       1.0033      1.0697   0.00024412
